FID;GW_NUMMER;NAME;RECHTSWERT;HOCHWERT;GEMEINDE_K;AQUIFER_KZ;EINZUGSGEB;HYDROGEOLE;HYDROGEOL2;MESSNETZ1_;MESSNETZ2_;GEMEINDE;AQUIFER;EINZUGSGE2;HYDROGEOL3;MESSNETZ1;MESSNETZ2;RASTERVALU
877;153/161-8;GWM 185 NBA, PLITTERSDORF;3437862,000000000000000;5417732,000000000000000;8216043,000000000000000;97,000000000000000;2371000000,000000000000000;3,000000000000000;8,000000000000000; ; ;RASTATT, STADT;NOCH NICHT BEARBEITET;Rhein unterh. Murg oberh. Lauter;Quartäre Kiese und Sande (GWL); ;#800000000001;311
878;153/306-0;GWM F BERLINERSTR., SCHWETZINGEN;3469285,000000000000000;5472665,000000000000000;8226084,000000000000000;4,000000000000000;2379490000,000000000000000;3,000000000000000;8,000000000000000; ; ;SCHWETZINGEN, STADT;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Leimbach unterhalb von Waldangelbach;Quartäre Kiese und Sande (GWL);#800000000013;#800000000001;211
879;153/308-1;GWM 2, FORST;3468750,000000000000000;5446390,000000000000000;8215021,000000000000000;97,000000000000000;2377800000,000000000000000;3,000000000000000;8,000000000000000; ; ;FORST;NOCH NICHT BEARBEITET;Kriegbach;Quartäre Kiese und Sande (GWL); ;#800000000001;112
880;153/460-6;QF RADQUELLE, MARKGROENINGEN;3507880,000000000000000;5418110,000000000000000;8118050,000000000000000;71,000000000000000;2384720000,000000000000000;3,000000000000000;125,000000000000000; ; ;MARKGRÖNINGEN, STADT;LETTENKEUPER;Leudelsbach;Quartäre Kiese und Sande (GWL);#800000000017; ;211
881;153/464-7;BR 1 FA. ROESCH, TUEBINGEN;3505720,000000000000000;5375590,000000000000000;8416041,000000000000000;2,000000000000000;2381590000,000000000000000;3,000000000000000;16,000000000000000; ; ;TÜBINGEN, UNIVERSITÄTSSTADT;QUARTÄR TALFÜLLUNGEN;Neckar unterh. Steinlach oberh. Ammer;Quartäre Kiese und Sande (GWL);#800000000011; ;121
882;153/568-2;BBR 97.12 NEUFRA;3535730,000000000000000;5332450,000000000000000;8426097,000000000000000;97,000000000000000;1133529000,000000000000000;4,000000000000000;6,000000000000000; ; ;RIEDLINGEN, STADT;NOCH NICHT BEARBEITET;Schwarzach unterhalb von Sodenbach;Quartäre Kiese und Sande unter Moränensedimenten (GWL);#800000000014; ;211
883;154/021-1;TB 4 ZV WEILERTAL;3394000,000000000000000;5296740,000000000000000;8315074,000000000000000;4,000000000000000;2333900000,000000000000000;3,000000000000000;8,000000000000000; ; ;MÜLLHEIM, STADT;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Rhein unterh. Hohlebach oberh. Klemmbach;Quartäre Kiese und Sande (GWL);#800000000014; ;211
884;154/065-7;GWM 23 NEURIED, MEISSENHEIM;3412189,000000000000000;5364714,000000000000000;8317075,000000000000000;4,000000000000000;2348800000,000000000000000;3,000000000000000;8,000000000000000; ; ;MEIßENHEIM;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Unditz;Quartäre Kiese und Sande (GWL);#800000000012; ;211
885;154/074-8;GWM 101 DEGUSSA, RHEINFELDEN;3410150,000000000000000;5270727,000000000000000;8336069,000000000000000;2,000000000000000;2315500000,000000000000000;3,000000000000000;243,000000000000000; ; ;RHEINFELDEN (BADEN), STADT;QUARTÄR TALFÜLLUNGEN;Rhein unterh. Möhlinbach oberh. Dürrenbach;Quartäre Kiese und Sande (GWL);#800000000011; ;121
886;154/211-2;GWM 3672, RASTATT;3441119,000000000000000;5415955,000000000000000;8216043,000000000000000;97,000000000000000;2371000000,000000000000000;3,000000000000000;8,000000000000000; ; ;RASTATT, STADT;NOCH NICHT BEARBEITET;Rhein unterh. Murg oberh. Lauter;Quartäre Kiese und Sande (GWL); ;#800000000001;231
887;154/257-8;BR CVG JUNGMANN, KA-HUTTENHEIM;3460400,000000000000000;5451990,000000000000000;8215066,000000000000000;4,000000000000000;2377490000,000000000000000;3,000000000000000;8,000000000000000; ; ;PHILIPPSBURG, STADT;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Saalbach unterhalb von Bruchbach;Quartäre Kiese und Sande (GWL);#800000000011; ;211
888;154/308-6;GWM 3, FORST;3468750,000000000000000;5446390,000000000000000;8215021,000000000000000;97,000000000000000;2377800000,000000000000000;3,000000000000000;8,000000000000000; ; ;FORST;NOCH NICHT BEARBEITET;Kriegbach;Quartäre Kiese und Sande (GWL); ;#800000000001;112
889;154/460-1;QS SILBERSCHELLENQ., MARKGR.;3508240,000000000000000;5418105,000000000000000;8118050,000000000000000;97,000000000000000;2384720000,000000000000000;3,000000000000000;125,000000000000000; ; ;MARKGRÖNINGEN, STADT;NOCH NICHT BEARBEITET;Leudelsbach;Quartäre Kiese und Sande (GWL);#800000000014; ;211
