Datetime[UTC],BLM-1[m],Baro[m]
1/07/2009 11:00,5.18686403,9.48470642
1/07/2009 11:15,5.18433853,9.48443591
1/07/2009 11:30,5.17946753,9.4868323
1/07/2009 11:45,5.17501487,9.48798734
1/07/2009 12:00,5.17026269,9.48780728
1/07/2009 12:15,5.16601041,9.48985931
1/07/2009 12:30,5.16082091,9.49082102
1/07/2009 12:45,5.15712407,9.49086748
1/07/2009 13:00,5.15414508,9.49388454
1/07/2009 13:15,5.14970929,9.49433179
1/07/2009 13:30,5.14499578,9.49551007
1/07/2009 13:45,5.14073998,9.49724512
1/07/2009 14:00,5.13539791,9.49861839
1/07/2009 14:15,5.1327311,9.50105627
1/07/2009 14:30,5.12903636,9.50289422
1/07/2009 14:45,5.12712396,9.50400112
1/07/2009 15:00,5.12308964,9.50581667
1/07/2009 15:15,5.12113997,9.50625562
1/07/2009 15:30,5.11973028,9.50533209
1/07/2009 15:45,5.11877548,9.50557687
1/07/2009 16:00,5.11848089,9.50548476
1/07/2009 16:15,5.11819754,9.503178
1/07/2009 16:30,5.11897657,9.504499
1/07/2009 16:45,5.12082428,9.50093761
1/07/2009 17:00,5.12113997,9.50340286
1/07/2009 17:15,5.12253279,9.50438449
1/07/2009 17:30,5.12445855,9.50412892
1/07/2009 17:45,5.12545553,9.50412892
1/07/2009 18:00,5.12748254,9.50491471
1/07/2009 18:15,5.13102118,9.50523169
1/07/2009 18:30,5.13481787,9.50359454
1/07/2009 18:45,5.13827847,9.50359454
1/07/2009 19:00,5.14263129,9.50097909
1/07/2009 19:15,5.14660656,9.50165121
1/07/2009 19:30,5.15060362,9.50046216
1/07/2009 19:45,5.15517651,9.49897935
1/07/2009 20:00,5.15968894,9.49809895
1/07/2009 20:15,5.16648781,9.49415338
1/07/2009 20:30,5.17008622,9.49121848
1/07/2009 20:45,5.17402281,9.4924175
1/07/2009 21:00,5.17853524,9.48857151
1/07/2009 21:15,5.18418104,9.48868352
1/07/2009 21:30,5.18887135,9.48612782
1/07/2009 21:45,5.19229047,9.48423677
1/07/2009 22:00,5.19475691,9.48463838
1/07/2009 22:15,5.19845586,9.48200552
1/07/2009 22:30,5.20067973,9.48291909
1/07/2009 22:45,5.20461773,9.47830721
1/07/2009 23:00,5.20690347,9.47816698
1/07/2009 23:15,5.20789694,9.47935604
1/07/2009 23:30,5.21052016,9.47894033
1/07/2009 23:45,5.21133434,9.47669994
2/07/2009 00:00,5.21312229,9.47417163
2/07/2009 00:15,5.21318417,9.47474583
2/07/2009 00:30,5.21455659,9.47361153
2/07/2009 00:45,5.21548748,9.47220423
2/07/2009 01:00,5.21522664,9.47265148
2/07/2009 01:15,5.21406162,9.47150058
2/07/2009 01:30,5.21425286,9.47183333
2/07/2009 01:45,5.21462901,9.47235525
2/07/2009 02:00,5.21127739,9.47245814
2/07/2009 02:15,5.21033876,9.4724291
2/07/2009 02:30,5.20950771,9.47203579
2/07/2009 02:45,5.2074786,9.47287884
